,epoch,value_MicromacroGD,value_PolicyGD,value_thetaGD
0,0,1.087136149406433,1.105759859085083,1.075150728225708
1,1,2.2816250324249268,2.2565948963165283,2.2896361351013184
2,2,2.373826265335083,2.383847951889038,2.4001941680908203
3,3,2.2184383869171143,2.2392005920410156,2.2564895153045654
4,4,1.9981517791748047,2.0383400917053223,2.0496366024017334
5,5,1.769834280014038,1.8193281888961792,1.8368061780929565
6,6,1.5960662364959717,1.6498334407806396,1.677298665046692
7,7,1.4858876466751099,1.548335075378418,1.5814753770828247
8,8,1.4358184337615967,1.500139594078064,1.5357023477554321
9,9,1.4450737237930298,1.5119833946228027,1.5438584089279175
10,10,1.4991689920425415,1.561590552330017,1.5783940553665161
11,11,1.5647624731063843,1.622596025466919,1.636167287826538
12,12,1.637747049331665,1.697587490081787,1.7037780284881592
13,13,1.7099535465240479,1.7728140354156494,1.7692805528640747
14,14,1.7747571468353271,1.8407692909240723,1.8296406269073486
15,15,1.8359136581420898,1.8995511531829834,1.8877637386322021
16,16,1.8868327140808105,1.9519574642181396,1.9370349645614624
17,17,1.931667447090149,1.9962477684020996,1.9798274040222168
18,18,1.9679008722305298,2.0350162982940674,2.017691135406494
19,19,1.9965577125549316,2.065648317337036,2.050079584121704
20,20,2.019526243209839,2.0907840728759766,2.077636241912842
21,21,2.0428853034973145,2.1103334426879883,2.0992062091827393
22,22,2.057178020477295,2.1238551139831543,2.115234375
23,23,2.071340799331665,2.133586883544922,2.1237964630126953
24,24,2.0792815685272217,2.135218858718872,2.129969358444214
25,25,2.086806297302246,2.1373839378356934,2.1343252658843994
26,26,2.09421706199646,2.1387526988983154,2.1383962631225586
27,27,2.0992612838745117,2.1437249183654785,2.1405136585235596
28,28,2.1060187816619873,2.1511876583099365,2.1431143283843994
29,29,2.1151649951934814,2.1603171825408936,2.1486117839813232
30,30,2.127110242843628,2.176226854324341,2.1582508087158203
31,31,2.14072847366333,2.195488929748535,2.169215202331543
32,32,2.1579928398132324,2.216972827911377,2.1849732398986816
33,33,2.1756577491760254,2.2385547161102295,2.2042019367218018
34,34,2.197291135787964,2.2618184089660645,2.226534843444824
35,35,2.2229533195495605,2.286160945892334,2.2507405281066895
36,36,2.249213933944702,2.3146276473999023,2.2779970169067383
37,37,2.2785258293151855,2.3446526527404785,2.307610511779785
