,epoch,value_MicromacroGD
0,0,1.0666698217391968
1,1,2.5125210285186768
2,2,2.789133071899414
3,3,2.6298253536224365
4,4,2.2822554111480713
5,5,1.8730335235595703
6,6,1.6267426013946533
7,7,1.5349434614181519
8,8,1.5366698503494263
9,9,1.5742141008377075
10,10,1.6024892330169678
11,11,1.6316944360733032
12,12,1.6477388143539429
13,13,1.6540181636810303
14,14,1.6575976610183716
15,15,1.6522802114486694
16,16,1.6463379859924316
17,17,1.63421630859375
18,18,1.6133660078048706
19,19,1.5962005853652954
20,20,1.5681110620498657
21,21,1.546366810798645
22,22,1.5239883661270142
23,23,1.5086232423782349
24,24,1.4932515621185303
25,25,1.489100694656372
26,26,1.4911562204360962
27,27,1.4966109991073608
28,28,1.5119454860687256
29,29,1.5287449359893799
30,30,1.5535532236099243
31,31,1.5812829732894897
32,32,1.6097443103790283
33,33,1.6395817995071411
34,34,1.670883297920227
35,35,1.6967049837112427
36,36,1.7219265699386597
37,37,1.7387386560440063
38,38,1.757179617881775
39,39,1.7726261615753174
40,40,1.788869857788086
41,41,1.8028700351715088
42,42,1.8093531131744385
43,43,1.8180228471755981
44,44,1.823007345199585
45,45,1.8301990032196045
46,46,1.8367164134979248
47,47,1.8448573350906372
48,48,1.8540323972702026
49,49,1.8651258945465088
50,50,1.8804538249969482
51,51,1.8960628509521484
52,52,1.9134247303009033
53,53,1.93101167678833
54,54,1.9488712549209595
55,55,1.9713765382766724
56,56,1.9902175664901733
57,57,2.007530689239502
58,58,2.0263655185699463
59,59,2.046643018722534
60,60,2.064199924468994
61,61,2.081921100616455
62,62,2.0957093238830566
63,63,2.1099672317504883
64,64,2.1249818801879883
65,65,2.1362130641937256
66,66,2.150897264480591
67,67,2.1616926193237305
68,68,2.1744210720062256
69,69,2.187128782272339
70,70,2.204277276992798
71,71,2.2161800861358643
72,72,2.2303316593170166
73,73,2.2432661056518555
74,74,2.2594850063323975
75,75,2.2762410640716553
76,76,2.2919881343841553
77,77,2.3008317947387695
78,78,2.3146636486053467
79,79,2.3262734413146973
80,80,2.3380725383758545
81,81,2.3523740768432617
82,82,2.363935947418213
83,83,2.374762773513794
84,84,2.3858277797698975
85,85,2.396578073501587
86,86,2.407350778579712
87,87,2.414066791534424
88,88,2.4202940464019775
89,89,2.4237399101257324
90,90,2.42952561378479
91,91,2.4352877140045166
92,92,2.4415643215179443
93,93,2.4450881481170654
94,94,2.448607921600342
95,95,2.45406436920166
96,96,2.4568495750427246
97,97,2.462878465652466
98,98,2.468395233154297
99,99,2.4741547107696533
100,100,2.5475287437438965
101,101,2.619797706604004
102,102,2.7005276679992676
103,103,2.792813539505005
104,104,2.9293127059936523
105,105,3.078930139541626
106,106,3.2604074478149414
107,107,3.455719470977783
108,108,3.6764233112335205
109,109,3.920346736907959
110,110,4.158877849578857
111,111,4.402400016784668
112,112,4.628820896148682
113,113,4.829987525939941
114,114,4.985922336578369
115,115,5.068915367126465
116,116,5.094478130340576
117,117,5.044625282287598
118,118,4.972689151763916
119,119,4.912646770477295
120,120,4.8813934326171875
121,121,4.895456790924072
122,122,4.917575836181641
123,123,4.930229663848877
124,124,4.935266971588135
125,125,4.9372148513793945
126,126,4.9380083084106445
127,127,4.938354015350342
128,128,4.938518524169922
129,129,4.938603401184082
130,130,4.938649654388428
131,131,4.9386773109436035
132,132,4.938693046569824
133,133,4.938704013824463
134,134,4.938710689544678
135,135,4.938715934753418
136,136,4.938719272613525
137,137,4.938721656799316
138,138,4.938724040985107
139,139,4.938725471496582
140,140,4.938726425170898
141,141,4.938727378845215
142,142,4.938727855682373
143,143,4.938728332519531
144,144,4.9387288093566895
145,145,4.938729763031006
146,146,4.938729763031006
147,147,4.938729763031006
148,148,4.938730239868164
149,149,4.938730239868164
150,150,4.938730239868164
151,151,4.938730239868164
152,152,4.9387311935424805
153,153,4.9387311935424805
154,154,4.9387311935424805
155,155,4.9387311935424805
156,156,4.9387311935424805
157,157,4.938731670379639
158,158,4.938731670379639
159,159,4.938731670379639
160,160,4.938731670379639
161,161,4.938731670379639
162,162,4.938731670379639
163,163,4.938731670379639
164,164,4.938732147216797
165,165,4.938732624053955
166,166,4.938732624053955
167,167,4.938732624053955
168,168,4.938732624053955
169,169,4.938732624053955
170,170,4.938732624053955
171,171,4.938732624053955
172,172,4.938732624053955
173,173,4.938732624053955
174,174,4.938732624053955
175,175,4.938732624053955
176,176,4.938732624053955
177,177,4.938732624053955
178,178,4.938732624053955
179,179,4.938732624053955
180,180,4.938732624053955
181,181,4.938732624053955
182,182,4.938732624053955
183,183,4.938733100891113
184,184,4.938733100891113
185,185,4.938733100891113
186,186,4.938733100891113
187,187,4.938733100891113
188,188,4.938733100891113
189,189,4.938733100891113
190,190,4.938733100891113
191,191,4.938733100891113
192,192,4.938733100891113
193,193,4.938733100891113
194,194,4.938733100891113
195,195,4.938733100891113
196,196,4.938733100891113
197,197,4.938733100891113
198,198,4.938733100891113
199,199,4.938733100891113
200,200,4.938733100891113
201,201,4.938733100891113
202,202,4.938733100891113
203,203,4.938733100891113
204,204,4.938733100891113
205,205,4.938733100891113
206,206,4.938733100891113
207,207,4.938733100891113
208,208,4.938733100891113
209,209,4.938733100891113
210,210,4.938733100891113
211,211,4.938733100891113
212,212,4.938733100891113
213,213,4.938733100891113
214,214,4.938733100891113
215,215,4.938733100891113
216,216,4.938733100891113
217,217,4.938733100891113
218,218,4.938733100891113
219,219,4.938733100891113
220,220,4.938733100891113
221,221,4.938733100891113
222,222,4.938733100891113
223,223,4.938733100891113
224,224,4.938733100891113
225,225,4.938733100891113
226,226,4.938733100891113
227,227,4.938733100891113
228,228,4.938733100891113
229,229,4.938733100891113
230,230,4.938733100891113
231,231,4.938733100891113
232,232,4.938733100891113
233,233,4.938733100891113
234,234,4.938733100891113
235,235,4.938733100891113
236,236,4.938733100891113
237,237,4.938733100891113
238,238,4.938733100891113
239,239,4.938733100891113
240,240,4.938733100891113
241,241,4.938733100891113
242,242,4.938733100891113
243,243,4.938733100891113
244,244,4.938733100891113
245,245,4.938733100891113
246,246,4.938733100891113
247,247,4.938733100891113
248,248,4.938733100891113
249,249,4.938733100891113
250,250,4.938733100891113
251,251,4.938733100891113
252,252,4.938733100891113
253,253,4.938733100891113
254,254,4.938733100891113
255,255,4.938733100891113
256,256,4.938733100891113
257,257,4.938733100891113
258,258,4.938733100891113
259,259,4.938733100891113
260,260,4.938733100891113
261,261,4.938733100891113
262,262,4.938733100891113
263,263,4.938733100891113
264,264,4.938733100891113
265,265,4.938733100891113
266,266,4.938733100891113
267,267,4.938733100891113
268,268,4.938733100891113
269,269,4.938733100891113
270,270,4.938733100891113
271,271,4.938733100891113
