,epoch,spg,e2e,vani
0,0,0.8165868520736694,0.8168169856071472,0.8858656287193298
1,1,1.7627058029174805,1.762481927871704,2.3100595474243164
2,2,2.3288381099700928,2.331495523452759,2.603959083557129
3,3,2.492337703704834,2.4918630123138428,2.6789281368255615
4,4,2.539752721786499,2.5398147106170654,2.6834301948547363
5,5,2.523952007293701,2.525712013244629,2.651226043701172
6,6,2.486534595489502,2.4855921268463135,2.588099956512451
7,7,2.438169002532959,2.4388914108276367,2.5319135189056396
8,8,2.393345355987549,2.393319845199585,2.4870288372039795
9,9,2.3678176403045654,2.366692304611206,2.466200828552246
10,10,2.3659133911132812,2.373281717300415,2.4627156257629395
11,11,2.387874126434326,2.3849475383758545,2.4694128036499023
12,12,2.4079933166503906,2.401994466781616,2.477548599243164
13,13,2.42301344871521,2.4211976528167725,2.488173723220825
14,14,2.4368715286254883,2.430347442626953,2.497720718383789
15,15,2.4495933055877686,2.4389612674713135,2.505359649658203
16,16,2.4612390995025635,2.4481818675994873,2.518707752227783
17,17,2.474968194961548,2.470344066619873,2.533478021621704
18,18,2.4844260215759277,2.488722324371338,2.5452444553375244
19,19,2.496272563934326,2.500251531600952,2.5597469806671143
20,20,2.5122690200805664,2.511622905731201,2.5752553939819336
21,21,2.529402732849121,2.5344576835632324,2.590040445327759
22,22,2.5518510341644287,2.5564944744110107,2.6024937629699707
23,23,2.577322244644165,2.57829213142395,2.629405975341797
24,24,2.6002817153930664,2.6007556915283203,2.6517112255096436
25,25,2.624209403991699,2.6255807876586914,2.673341751098633
26,26,2.648810863494873,2.6488587856292725,2.69189190864563
27,27,2.674105644226074,2.6772818565368652,2.715172052383423
28,28,2.699167490005493,2.701169490814209,2.740096092224121
29,29,2.726314067840576,2.7253236770629883,2.7688698768615723
30,30,3.055778741836548,2.7250852584838867,2.797602653503418
31,31,3.249182939529419,2.7253332138061523,2.8218257427215576
32,32,3.4516873359680176,2.725344181060791,2.8409531116485596
33,33,3.611421823501587,2.725355625152588,2.8660237789154053
34,34,3.8108725547790527,2.7257728576660156,2.8862264156341553
35,35,3.9662842750549316,2.726276397705078,2.908479690551758
36,36,4.16500997543335,2.7267885208129883,2.918867588043213
37,37,4.396778583526611,2.726572275161743,2.930182456970215
38,38,4.681135654449463,2.7265820503234863,2.9371049404144287
39,39,4.9303107261657715,2.726592540740967,2.942793369293213
40,40,5.135311126708984,2.7266032695770264,2.9438858032226562
41,41,5.146315574645996,2.726613998413086,2.9486570358276367
42,42,5.259849548339844,2.7266249656677246,2.9499223232269287
43,43,5.244768142700195,2.7266359329223633,2.948080062866211
44,44,5.2740020751953125,2.726656675338745,2.9444780349731445
45,45,5.260258674621582,2.7266733646392822,2.941364049911499
46,46,5.261152267456055,2.7269129753112793,2.9419844150543213
47,47,5.256898880004883,2.727102279663086,2.9404633045196533
48,48,5.26213264465332,2.7271132469177246,2.937983512878418
49,49,5.257073879241943,2.7273671627044678,2.936058521270752
50,50,5.262017726898193,2.7273783683776855,2.93033504486084
51,51,5.265944957733154,2.727637529373169,2.9287121295928955
52,52,5.260701656341553,2.7276487350463867,2.927400827407837
53,53,5.270127773284912,2.7271664142608643,2.926330327987671
54,54,5.260501384735107,2.7271780967712402,2.9285526275634766
55,55,5.27191162109375,2.7269389629364014,2.9257824420928955
56,56,5.266160488128662,2.7267160415649414,2.924320697784424
57,57,5.2628350257873535,2.727301597595215,2.9215474128723145
58,58,5.264942169189453,2.7275619506835938,2.920260190963745
59,59,5.2614054679870605,2.7273237705230713,2.9207146167755127
60,60,5.257133483886719,2.7273356914520264,2.918938159942627
61,61,5.2634196281433105,2.7278287410736084,2.9173121452331543
62,62,5.267827987670898,2.7278406620025635,2.915915012359619
63,63,5.257979393005371,2.728269100189209,2.914767026901245
64,64,5.270203590393066,2.729193687438965,2.9135971069335938
65,65,5.260147571563721,2.7292003631591797,2.9106650352478027
66,66,5.2726616859436035,2.7294535636901855,2.9121851921081543
67,67,5.262166500091553,2.7298760414123535,2.911233901977539
68,68,5.272061347961426,2.7299065589904785,2.9097609519958496
69,69,5.2606682777404785,2.729682683944702,2.905545949935913
70,70,5.256669521331787,2.72969651222229,2.9028213024139404
71,71,5.257068157196045,2.7298803329467773,2.902097225189209
72,72,5.267119407653809,2.7296390533447266,2.8998818397521973
73,73,5.256978988647461,2.7296955585479736,2.8973920345306396
74,74,5.26819372177124,2.7294604778289795,2.8946571350097656
75,75,5.261568546295166,2.7297070026397705,2.8926689624786377
76,76,5.265531063079834,2.729736089706421,2.8907032012939453
77,77,5.262368679046631,2.7302374839782715,2.8882322311401367
78,78,5.272236347198486,2.730247974395752,2.887002944946289
79,79,5.263778209686279,2.7302584648132324,2.8850250244140625
80,80,5.267962455749512,2.7307610511779785,2.8852858543395996
81,81,5.257074356079102,2.73079252243042,2.8860530853271484
82,82,5.265544414520264,2.730314016342163,2.886808395385742
83,83,5.260868072509766,2.7305734157562256,2.886064291000366
84,84,5.262408256530762,2.7305846214294434,2.886807441711426
85,85,5.264229774475098,2.730990171432495,2.88630747795105
86,86,5.269707679748535,2.7309999465942383,2.8880531787872314
87,87,5.263775825500488,2.730771780014038,2.8888132572174072
88,88,5.269084453582764,2.7307820320129395,2.890068769454956
89,89,5.261159420013428,2.7307918071746826,2.8918263912200928
90,90,5.266582489013672,2.730567216873169,2.892587423324585
91,91,5.265979766845703,2.7309863567352295,2.8938324451446533
92,92,5.269651412963867,2.731475830078125,2.8935914039611816
93,93,5.261117935180664,2.7314846515655518,2.894087791442871
94,94,5.2681379318237305,2.731494188308716,2.8958382606506348
95,95,5.258790493011475,2.731503486633301,2.8963444232940674
96,96,5.2649383544921875,2.7315192222595215,2.897087335586548
97,97,5.2637457847595215,2.7315292358398438,2.897599458694458
98,98,5.270771503448486,2.7315430641174316,2.8988635540008545
99,99,5.264473915100098,2.731532335281372,2.8993914127349854
100,0,1.2136242389678955,1.242348551750183,1.659955382347107
101,1,2.1321234703063965,2.15336275100708,2.59480357170105
102,2,2.415431499481201,2.4214396476745605,2.8093011379241943
103,3,2.5026683807373047,2.482341766357422,2.768566131591797
104,4,2.489894390106201,2.4706778526306152,2.6968908309936523
105,5,2.4532182216644287,2.4434523582458496,2.618016242980957
106,6,2.396679162979126,2.4069738388061523,2.5559866428375244
107,7,2.3370089530944824,2.36543869972229,2.4828100204467773
108,8,2.27848744392395,2.330386161804199,2.4178881645202637
109,9,2.2285094261169434,2.293544054031372,2.365823268890381
110,10,2.2025821208953857,2.2736058235168457,2.3307766914367676
111,11,2.2034542560577393,2.268285036087036,2.3286428451538086
112,12,2.2258756160736084,2.2773969173431396,2.340474843978882
113,13,2.261420249938965,2.306777000427246,2.369800329208374
114,14,2.310131549835205,2.3407981395721436,2.4079995155334473
115,15,2.3640573024749756,2.389829158782959,2.457184314727783
116,16,2.427028179168701,2.449970245361328,2.516857862472534
117,17,2.4872710704803467,2.5081119537353516,2.5742623805999756
118,18,2.553520917892456,2.5662951469421387,2.6304280757904053
119,19,2.613428831100464,2.62134051322937,2.684641122817993
120,20,2.6742610931396484,2.6721293926239014,2.7379608154296875
121,21,2.7272768020629883,2.7208023071289062,2.7870707511901855
122,22,2.778067111968994,2.7712295055389404,2.8292994499206543
123,23,2.820500135421753,2.8095107078552246,2.871047258377075
124,24,2.8568484783172607,2.8460135459899902,2.9032363891601562
125,25,2.8789875507354736,2.8740577697753906,2.9282963275909424
